component_id,component_type,error_name,created,date time
GR003227,ground,periodic_goto_timeout,1682839830,30/04/2023 07:30:00:300
GR003227,ground,auto_reset_agent,1682839830,30/04/2023 07:30:00:300
LR00002093,lift,auto_reset_agent,1682841300,30/04/2023 07:55:00:550
GR003165,ground,turn_timeout,1682843610,30/04/2023 08:33:00:330
GR003165,ground,auto_reset_agent,1682843611,30/04/2023 08:33:00:330
GR003246,ground,goto_finished_off_sticker,1682845946,30/04/2023 09:12:00:120
GR003246,ground,corners_cv_started,1682845946,30/04/2023 09:12:00:120
GR003246,ground,corners_cv_succeeded,1682845947,30/04/2023 09:12:00:120
GR003246,ground,corners_cv_irrelevant,1682845947,30/04/2023 09:12:00:120
GR003212,ground,missing_sticker,1682846176,30/04/2023 09:16:00:160
GR003294,ground,ground_not_responding,1682846812,30/04/2023 09:26:00:260
GR003294,ground,periodic_goto_timeout,1682846817,30/04/2023 09:26:00:260
GR003294,ground,auto_reset_agent,1682846817,30/04/2023 09:26:00:260
GR003295,ground,missing_sticker,1682846859,30/04/2023 09:27:00:270
GR003297,ground,goto_finished_off_sticker,1682847020,30/04/2023 09:30:00:300
GR003297,ground,corners_cv_started,1682847021,30/04/2023 09:30:00:300
GR003297,ground,corners_cv_succeeded,1682847021,30/04/2023 09:30:00:300
GR003212,ground,missing_sticker,1682847493,30/04/2023 09:38:00:380
GR003227,ground,turn_timeout,1682847730,30/04/2023 09:42:00:420
GR003227,ground,auto_reset_agent,1682847730,30/04/2023 09:42:00:420
GR003273,ground,missing_sticker,1682847802,30/04/2023 09:43:00:430
GR003282,ground,goto_finished_off_sticker,1682848606,30/04/2023 09:56:00:560
GR003282,ground,corners_cv_started,1682848606,30/04/2023 09:56:00:560
GR003282,ground,corners_cv_succeeded,1682848606,30/04/2023 09:56:00:560
GR003282,ground,corners_cv_irrelevant,1682848606,30/04/2023 09:56:00:560
GR003221,ground,goto_finished_off_sticker,1682848680,30/04/2023 09:58:00:580
GR003221,ground,corners_cv_started,1682848680,30/04/2023 09:58:00:580
GR003227,ground,ground_not_responding,1682848737,30/04/2023 09:58:00:580
GR003227,ground,robot_restarted,1682848742,30/04/2023 09:59:00:590
GR003227,ground,auto_reset_agent,1682848742,30/04/2023 09:59:00:590
GR003298,ground,missing_sticker,1682849322,30/04/2023 10:08:00:80
GR003165,ground,turn_timeout,1682849626,30/04/2023 10:13:00:130
GR003165,ground,auto_reset_agent,1682849628,30/04/2023 10:13:00:130
GR003130,ground,missing_sticker,1682850269,30/04/2023 10:24:00:240
GR003270,ground,auto_reset_agent,1682850295,30/04/2023 10:24:00:240
GR003267,ground,missing_sticker,1682850438,30/04/2023 10:27:00:270
GR003212,ground,missing_sticker,1682851809,30/04/2023 10:50:00:500
GR003267,ground,missing_sticker,1682852267,30/04/2023 10:57:00:570
GR003165,ground,periodic_goto_timeout,1682853939,30/04/2023 11:25:00:250
GR003165,ground,auto_reset_agent,1682853939,30/04/2023 11:25:00:250
GR003255,ground,missing_sticker,1682854022,30/04/2023 11:27:00:270
LR00002222,lift,fine_positioning_tote_centering_after_hs_error,1682854495,30/04/2023 11:34:00:340
LR00002222,lift,auto_reset_agent,1682854506,30/04/2023 11:35:00:350
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682854525,30/04/2023 11:35:00:350
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682854717,30/04/2023 11:38:00:380
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682854957,30/04/2023 11:42:00:420
GR003264,ground,missing_sticker,1682855141,30/04/2023 11:45:00:450
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682855198,30/04/2023 11:46:00:460
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682855438,30/04/2023 11:50:00:500
GR003178,ground,missing_sticker,1682855640,30/04/2023 11:54:00:540
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682855678,30/04/2023 11:54:00:540
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682855918,30/04/2023 11:58:00:580
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682856159,30/04/2023 12:02:00:20
LR00002222,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682856399,30/04/2023 12:06:00:60
GR003165,ground,turn_timeout,1682856501,30/04/2023 12:08:00:80
GR003165,ground,auto_reset_agent,1682856502,30/04/2023 12:08:00:80
GR003165,ground,robot_version_timeout,1682856527,30/04/2023 12:08:00:80
GR003263,ground,missing_sticker,1682856543,30/04/2023 12:09:00:90
GR003165,ground,read_data_matrix_timeout,1682856579,30/04/2023 12:09:00:90
LR00002222,lift,auto_reset_agent,1682856595,30/04/2023 12:09:00:90
GR003267,ground,missing_sticker,1682857933,30/04/2023 12:32:00:320
LR00002265,lift,conveyor_not_success_to_pull_the_tote_while_loading,1682861606,30/04/2023 13:33:00:330
GR003281,ground,corners_cv_started,1682861911,30/04/2023 13:38:00:380
GR003281,ground,corners_cv_succeeded,1682861912,30/04/2023 13:38:00:380
GR003281,ground,corners_cv_irrelevant,1682861912,30/04/2023 13:38:00:380
GR003275,ground,turn_timeout,1682862108,30/04/2023 13:41:00:410
GR003275,ground,auto_reset_agent,1682862109,30/04/2023 13:41:00:410
LR00002265,lift,auto_reset_agent,1682862174,30/04/2023 13:42:00:420
GR003227,ground,robot_restarted,1682863613,30/04/2023 14:06:00:60
GR003227,ground,auto_reset_agent,1682863614,30/04/2023 14:06:00:60
GR003215,ground,missing_sticker,1682865434,30/04/2023 14:37:00:370
GR003165,ground,turn_timeout,1682865637,30/04/2023 14:40:00:400
GR003165,ground,auto_reset_agent,1682865638,30/04/2023 14:40:00:400
GR003210,ground,tote_mismatch_error,1682865694,30/04/2023 14:41:00:410
GR003210,ground,auto_reset_agent,1682865702,30/04/2023 14:41:00:410
GR003295,ground,missing_sticker,1682866437,30/04/2023 14:53:00:530
GR003283,ground,missing_sticker,1682866581,30/04/2023 14:56:00:560
GR003227,ground,periodic_goto_timeout,1682866621,30/04/2023 14:57:00:570
GR003227,ground,auto_reset_agent,1682866622,30/04/2023 14:57:00:570
GR003233,ground,signup_no_sticker,1682866878,30/04/2023 15:01:00:10
GR003211,ground,conflicting_tote_switch,1682866894,30/04/2023 15:01:00:10
GR003211,ground,auto_reset_agent,1682866897,30/04/2023 15:01:00:10
GR003167,ground,signup_no_sticker,1682867148,30/04/2023 15:05:00:50
GR003167,ground,safety_entered,1682867149,30/04/2023 15:05:00:50
GR003270,ground,missing_sticker,1682867228,30/04/2023 15:07:00:70
GR003074,ground,conflicting_tote_switch,1682867421,30/04/2023 15:10:00:100
GR003074,ground,auto_reset_agent,1682867424,30/04/2023 15:10:00:100
GR003264,ground,missing_sticker,1682867467,30/04/2023 15:11:00:110
GR003156,ground,conflicting_tote_switch,1682867489,30/04/2023 15:11:00:110
GR003156,ground,auto_reset_agent,1682867496,30/04/2023 15:11:00:110
GR003247,ground,conflicting_tote_switch,1682867519,30/04/2023 15:12:00:120
GR003287,ground,missing_sticker,1682867520,30/04/2023 15:12:00:120
GR003247,ground,auto_reset_agent,1682867525,30/04/2023 15:12:00:120
GR003168,ground,conflicting_tote_switch,1682867536,30/04/2023 15:12:00:120
GR003168,ground,auto_reset_agent,1682867541,30/04/2023 15:12:00:120
GR003157,ground,conflicting_tote_switch,1682867577,30/04/2023 15:12:00:120
GR003157,ground,auto_reset_agent,1682867584,30/04/2023 15:13:00:130
GR003076,ground,conflicting_tote_switch,1682867701,30/04/2023 15:15:00:150
GR003076,ground,auto_reset_agent,1682867704,30/04/2023 15:15:00:150
GR003287,ground,conflicting_tote_switch,1682867748,30/04/2023 15:15:00:150
GR003287,ground,auto_reset_agent,1682867750,30/04/2023 15:15:00:150
GR003227,ground,periodic_goto_timeout,1682868077,30/04/2023 15:21:00:210
GR003227,ground,auto_reset_agent,1682868077,30/04/2023 15:21:00:210
GR003244,ground,conflicting_tote_switch,1682868101,30/04/2023 15:21:00:210
GR003244,ground,auto_reset_agent,1682868103,30/04/2023 15:21:00:210
GR003264,ground,missing_sticker,1682868248,30/04/2023 15:24:00:240
GR003274,ground,conflicting_tote_switch,1682868827,30/04/2023 15:33:00:330
GR003274,ground,auto_reset_agent,1682868830,30/04/2023 15:33:00:330
GR003098,ground,conflicting_tote_switch,1682868907,30/04/2023 15:35:00:350
GR003098,ground,auto_reset_agent,1682868909,30/04/2023 15:35:00:350
GR003227,ground,turn_timeout,1682869270,30/04/2023 15:41:00:410
GR003227,ground,auto_reset_agent,1682869270,30/04/2023 15:41:00:410
GR003294,ground,periodic_goto_timeout,1682869513,30/04/2023 15:45:00:450
GR003294,ground,auto_reset_agent,1682869514,30/04/2023 15:45:00:450
GR003270,ground,missing_sticker,1682869627,30/04/2023 15:47:00:470
GR003177,ground,missing_sticker,1682870031,30/04/2023 15:53:00:530
GR003264,ground,missing_sticker,1682870062,30/04/2023 15:54:00:540
GR003230,ground,missing_sticker,1682870226,30/04/2023 15:57:00:570
GR003294,ground,periodic_goto_timeout,1682873638,30/04/2023 16:53:00:530
GR003294,ground,auto_reset_agent,1682873638,30/04/2023 16:53:00:530
GR003199,ground,missing_sticker,1682874783,30/04/2023 17:13:00:130
GR003165,ground,turn_timeout,1682875700,30/04/2023 17:28:00:280
GR003165,ground,auto_reset_agent,1682875700,30/04/2023 17:28:00:280
GR003275,ground,periodic_goto_timeout,1682875812,30/04/2023 17:30:00:300
GR003275,ground,auto_reset_agent,1682875812,30/04/2023 17:30:00:300
GR003275,ground,read_data_matrix_timeout,1682875879,30/04/2023 17:31:00:310
LR00002265,lift,conveyor_not_success_to_pull_the_tote_while_loading,1682876715,30/04/2023 17:45:00:450
GR003215,ground,missing_sticker,1682877391,30/04/2023 17:56:00:560
GR003295,ground,missing_sticker,1682877686,30/04/2023 18:01:00:10
LR00002265,lift,auto_reset_agent,1682877962,30/04/2023 18:06:00:60
GR003068,ground,auto_reset_agent,1682878104,30/04/2023 18:08:00:80
GR003068,ground,reset_agent_by_user,1682878497,30/04/2023 18:14:00:140
GR003168,ground,offline,1682878549,30/04/2023 18:15:00:150
GR003068,ground,safety_entered,1682878585,30/04/2023 18:16:00:160
GR003068,ground,robot_restarted,1682878586,30/04/2023 18:16:00:160
GR003068,ground,auto_reset_agent,1682878587,30/04/2023 18:16:00:160
GR003239,ground,safety_entered,1682878592,30/04/2023 18:16:00:160
GR003239,ground,robot_restarted,1682878594,30/04/2023 18:16:00:160
GR003239,ground,auto_reset_agent,1682878594,30/04/2023 18:16:00:160
GR003068,ground,goto_finished_off_sticker,1682878612,30/04/2023 18:16:00:160
GR003068,ground,corners_cv_started,1682878612,30/04/2023 18:16:00:160
GR003068,ground,goto_started_off_sticker,1682878612,30/04/2023 18:16:00:160
GR003068,ground,missing_sticker,1682878613,30/04/2023 18:16:00:160
GR003068,ground,missing_sticker,1682878614,30/04/2023 18:16:00:160
GR003068,ground,missing_stickers,1682878624,30/04/2023 18:17:00:170
GR003068,ground,signup_no_sticker,1682878624,30/04/2023 18:17:00:170
GR003068,ground,safety_entered,1682878634,30/04/2023 18:17:00:170
GR003068,ground,ground_not_responding,1682878706,30/04/2023 18:18:00:180
GR003068,ground,read_data_matrix_timeout,1682878713,30/04/2023 18:18:00:180
GR003068,ground,robot_location_unknown,1682878734,30/04/2023 18:18:00:180
GR003068,ground,auto_reset_agent,1682878734,30/04/2023 18:18:00:180
GR003165,ground,turn_timeout,1682879904,30/04/2023 18:38:00:380
GR003165,ground,auto_reset_agent,1682879904,30/04/2023 18:38:00:380
GR003165,ground,robot_version_timeout,1682879945,30/04/2023 18:39:00:390
GR003165,ground,robot_version_timeout,1682879955,30/04/2023 18:39:00:390
GR003165,ground,robot_version_timeout,1682879965,30/04/2023 18:39:00:390
GR003165,ground,auto_reset_agent,1682879965,30/04/2023 18:39:00:390
GR003165,ground,offline,1682880221,30/04/2023 18:43:00:430
GR003165,ground,turn_timeout,1682882921,30/04/2023 19:28:00:280
GR003165,ground,auto_reset_agent,1682882921,30/04/2023 19:28:00:280
GR003200,ground,missing_sticker,1682882934,30/04/2023 19:28:00:280
GR003227,ground,turn_timeout,1682883351,30/04/2023 19:35:00:350
GR003227,ground,auto_reset_agent,1682883353,30/04/2023 19:35:00:350
GR003297,ground,missing_sticker,1682884194,30/04/2023 19:49:00:490
