component_id,component_type,error_name,error_created,has_related_job_id,error_date_time,error_date,job_created,job_id,tote_id,robot_type,allocation_date_time,allocation_end_time,duration_seconds
GR003165,ground,offline,1682880221,1,2023-04-30 18:43:41.000,2023-04-30,1682879455,ac9c7d0b-7588-476f-8119-ffbebaf79172,10058758,ground,2023-04-30 18:30:55.000,1682882116,2661
GR003165,ground,auto_reset_agent,1682879904,1,2023-04-30 18:38:24.000,2023-04-30,1682879455,ac9c7d0b-7588-476f-8119-ffbebaf79172,10058758,ground,2023-04-30 18:30:55.000,1682882116,2661
GR003165,ground,auto_reset_agent,1682879965,1,2023-04-30 18:39:25.000,2023-04-30,1682879455,ac9c7d0b-7588-476f-8119-ffbebaf79172,10058758,ground,2023-04-30 18:30:55.000,1682882116,2661
GR003165,ground,turn_timeout,1682971834,1,2023-05-01 20:10:34.000,2023-05-01,1682971494,dcd021ad-daec-45aa-a98d-7b690fbb6e05,10003456,ground,2023-05-01 20:04:54.000,1682971877,383
GR003165,ground,auto_reset_agent,1682971836,1,2023-05-01 20:10:36.000,2023-05-01,1682971494,dcd021ad-daec-45aa-a98d-7b690fbb6e05,10003456,ground,2023-05-01 20:04:54.000,1682971877,383
GR003165,ground,auto_reset_agent,1682819356,1,2023-04-30 01:49:16.000,2023-04-30,1682818752,e32a00c0-315a-4be9-a487-5b75af6abb9f,10057682,ground,2023-04-30 01:39:12.000,1682819372,620
GR003165,ground,periodic_goto_timeout,1682819356,1,2023-04-30 01:49:16.000,2023-04-30,1682818752,e32a00c0-315a-4be9-a487-5b75af6abb9f,10057682,ground,2023-04-30 01:39:12.000,1682819372,620
GR003165,ground,turn_timeout,1682916679,1,2023-05-01 04:51:19.000,2023-05-01,1682916211,813d8eb7-e70b-4031-9d22-8d8330488801,10065292,ground,2023-05-01 04:43:31.000,1682916697,486
GR003165,ground,auto_reset_agent,1682916679,1,2023-05-01 04:51:19.000,2023-05-01,1682916211,813d8eb7-e70b-4031-9d22-8d8330488801,10065292,ground,2023-05-01 04:43:31.000,1682916697,486
GR003194,ground,reset_agent_by_user,1682958180,1,2023-05-01 16:23:00.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,signup_no_sticker,1682958124,1,2023-05-01 16:22:04.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,signup_no_sticker,1682958201,1,2023-05-01 16:23:21.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,goto_finished_off_sticker,1682958122,1,2023-05-01 16:22:02.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,goto_started_off_sticker,1682958115,1,2023-05-01 16:21:55.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,corners_cv_started,1682958119,1,2023-05-01 16:21:59.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,corners_cv_started,1682958122,1,2023-05-01 16:22:02.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,goto_finished_off_sticker,1682958119,1,2023-05-01 16:21:59.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,turn_started_off_sticker,1682958121,1,2023-05-01 16:22:01.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,workaround_failed,1682958124,1,2023-05-01 16:22:04.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003194,ground,workaround_started,1682958121,1,2023-05-01 16:22:01.000,2023-05-01,1682958112,c30b2c19-f22e-4d86-9227-04c919216950,20020751,ground,2023-05-01 16:21:52.000,1682958234,122
GR003165,ground,ground_not_responding,1682832916,1,2023-04-30 05:35:16.000,2023-04-30,1682832652,7b6507b1-09d3-41dc-b2a9-179f74fc5c66,10059217,ground,2023-04-30 05:30:52.000,1682832918,266
